Wyszczególnienie,Rok,Kwartał,Podatek od gier (tys. zł)
Loterie audioteksowe,2020,II kw.,2070.954
Loterie audioteksowe,2020,III kw.,1595.112
Loterie audioteksowe,2020,IV kw.,3900.682
Loterie audioteksowe,2021,I kw.,2798.262
Loterie audioteksowe,2021,II kw.,2939.874
Loterie audioteksowe,2021,III kw.,4251.104
Loterie audioteksowe,2021,IV kw.,4446.105
Loterie audioteksowe,2022,I kw.,4451
Loterie fantowe,2018,I kw.,2.038
Loterie fantowe,2018,II kw.,3.795
Loterie fantowe,2018,III kw.,1.1
Loterie fantowe,2018,IV kw.,4.852
Loterie fantowe,2019,I kw.,2.528
Loterie fantowe,2019,II kw.,4.379
Loterie fantowe,2019,III kw.,1.18
Loterie fantowe,2019,IV kw.,4.822
Loterie fantowe,2020,I kw.,1.794
Loterie fantowe,2020,II kw.,0
Loterie fantowe,2020,III kw.,2.486
Loterie fantowe,2020,IV kw.,0
Loterie fantowe,2021,I kw.,0
Loterie fantowe,2021,II kw.,1.513
Loterie fantowe,2021,III kw.,1.415
Loterie fantowe,2021,IV kw.,0
Loterie fantowe,2022,I kw.,0
